program_target,program_day,program_type,A_average,B_average,loan_change
아동,Wednesday,예술감상·체험,634,576.85,-57.15
아동,Thursday,예술감상·체험,553.42,721.36,167.94
아동,Wednesday,예술감상·체험,556.5,720.55,164.05
초등,Tuesday,예술감상·체험,543,710.45,167.45
누구나,Tuesday,예술감상·체험,543,710.45,167.45
초등,Sunday,예술감상·체험,563.25,741.73,178.48
아동//초등,Saturday,예술감상·체험,564.83,720,155.17
아동//초등,Saturday,예술감상·체험,564.83,720,155.17
성인,Sunday,예술감상·체험,741.42,594.67,-146.75
초등,Wednesday,예술감상·체험,871.42,576.85,-294.57
가족,Tuesday,예술감상·체험,911.25,556.5,-354.75
아동,Wednesday,예술감상·체험,946.58,586.92,-359.66
아동,Saturday,예술감상·체험,789.25,741.42,-47.83
성인,Wednesday,예술감상·체험,750,848.92,98.92
아동,Monday,예술감상·체험,672.17,911.25,239.08
초등,Tuesday,예술감상·체험,646.08,871.42,225.34
누구나,Monday,예술감상·체험,826.33,807.33,-19
초등,Monday,독서·문예,826.33,586.92,-239.41
성인,Thursday,예술감상·체험,838.58,652,-186.58
누구나,Wednesday,정보화·생활교육,848.75,564.83,-283.92
누구나,Wednesday,예술감상·체험,848.75,564.83,-283.92
초등,Saturday,예술감상·체험,814.33,656.33,-158
아동//초등,Saturday,예술감상·체험,814.33,656.33,-158
누구나,Saturday,예술감상·체험,814.33,656.33,-158
아동,Saturday,예술감상·체험,814.33,656.33,-158
아동,Saturday,예술감상·체험,814.33,656.33,-158
아동,Wednesday,예술감상·체험,774.58,727.17,-47.41
성인,Wednesday,예술감상·체험,774.58,727.17,-47.41
누구나,Tuesday,독서·문예,759.08,970.17,211.09
성인,Saturday,예술감상·체험,723.18,846.92,123.74
아동//초등,Saturday,예술감상·체험,723.18,846.92,123.74
아동,Tuesday,예술감상·체험,898.71,755.67,-143.04
아동,Monday,예술감상·체험,992.88,877.58,-115.3
누구나,Thursday,예술감상·체험,1136,790.42,-345.58
